# CloudWubi 规则库（cloudwubi-rules）清洗版
# 编码 汉字[ 汉字...]  （重码合并到同一行，每编码唯一）

g 一
f 地
d 在
s 要
a 工
h 上
j 是
k 中
l 国
m 同
t 和
r 的
e 有
w 人
q 我
y 主
u 产
i 不
o 为
p 这
n 民
b 了
v 发
c 以
x 经
gggg 王
ffff 土
dddd 大
ssss 木
aaaa 工
hhhh 目
jjjj 日
kkkk 口
llll 田
mmmm 山
tttt 禾
rrrr 白
eeee 月
wwww 人
qqqq 金
yyyy 言
uuuu 立
iiii 水
oooo 火
pppp 之
nnnn 已
bbbb 子
vvvv 女
cccc 又
xxxx 纟
wqiy 你
wq 你
vbg 好
vb 好
anv 世
an 世
lwjj 界
lwj 界
wun 们
wu 们
gdi 天
gd 天
ghi 下
gh 下
ipbf 学
ipb 学
nud 习
nu 习
ihty 小
ih 小
tgd 生
tg 生
rhfk 年
rhf 年
ftjb 都
ftj 都
wfcu 会
wfc 会
etnh 用
et 用
nyi 心
ny 心
shnu 想
shn 想
khk 中
lgyi 国
peu 家
pe 家
tkg 和
guhk 平
gu 平
pvf 安
pv 安
wgf 全
wg 全
usr 新
us 新
hjg 旧
hj 旧
gak 开
ga 开
ntcy 发
naei 展
nae 展
jfy 时
jf 时
ujd 间
uj 间
wthf 作
wt 作
nav 民
na 民
awu 共
aw 共
aii 东
ai 东
sghg 西
sg 西
fmuf 南
fmu 南
uxn 北
ux 北
hhgg 上
daf 左
da 左
dkf 右
dk 右
uejj 前
ue 前
rgkd 后
rg 后
mwi 内
mw 内
qhy 外
qh 外
qqu 多
qq 多
itr 少
it 少
ymkf 高
ym 高
wqay 低
wqa 低
tayi 长
ta 长 升
tdgu 短
tdg 短
fhwu 真
fhw 真
wnhc 假
wnh 假
fgii 坏
fgi 坏
nnwy 快
nnw 快
njlc 慢
njl 慢
jhnh 早
jh 早
jqkq 晚
jqk 晚
wynb 今
wyn 今
fbn 地
itxu 海
itx 海
bfmh 陆
bfm 陆
pwaf 空
pwa 空
rnb 气
rn 气
fcu 云
fc 云
umdj 端
umd 端
ovty 数
ov 数
rndg 据
rnd 据
thaj 算
tha 算
ifcy 法
ifc 法
xyna 编
xyn 编
dcg 码
dc 码
txiu 系
txi 系
xycq 统
xyc 统
admy 项
adm 项
tpnn 管
tpn 管
gjfg 理
gj 理
mqqi 网
mqq 网
xtkg 络
xtk 络
lqwy 软
lqw 软
wrhh 件
wrh 件
dgjq 硬
dgj 硬
tdkj 智
tdk 智
cexx 能
cex 能
wbjh 创
wbj 创
ogd 业
og 业
rmcy 投
rmc 投
uqwm 资
uqw 资
gkmj 融
gkm 融
emcy 股
emc 股
scy 权
sc 权
ymhj 市
ymh 市
fnrt 场
fnr 场
apkk 营
apk 营
qieg 销
qie 销
kkkf 品
kkk 品
thgf 牌
thg 牌
ptkf 客
ptk 客
yn 户
ebcy 服
ebc 服
tlb 务
tl 务
lfte 团
lft 团
bwy 队
bw 队
tjh 利
tj 利
iugg 润
iug 润
fulj 增
ful 增
whf 企
wh 企
fii 未
fi 未
goi 来
go 来
ute 产
ckf 台
ck 台
dyiu 态
dyi 态
ggiy 环
ggi 环
fujq 境
fuj 境
idri 源
idr 源
caqy 驱
caq 驱
fcln 动
fcl 动
umwk 商
umw 商
sajd 模
saj 模
gajf 型
gaj 型
adwf 基
adw 基 期
dbmh 础
dbm 础
ymcy 设
ymc 设
ytbn 施
ytb 施
ghty 政
ght 政
tgmi 策
tgm 策
aqi 区
aq 区
fakg 域
fak 域
qyvm 贸
qyv 贸
jqrr 易
jqr 易
tak 升
xeyy 级
xe 级
wgkf 合
wgk 合 命
woy 伙
wo 伙
wufh 伴
wuf 伴
hkat 战
hka 战
ltkg 略
ltk 略
fwmq 规
fwm 规
aibb 范
aib 范
sfiy 标
sfi 标
uwyg 准
uwy 准
pvsu 案
pvs 案
wgqj 例
wgq 例
wdnn 优
wdn 优
wxn 化
wx 化
xwyg 维
xwy 维
rynt 护
ryn 护
wksy 保
wks 保
bujh 障
buj 障
ifwj 潜
ifw 潜
ltn 力
lt 力
rfcy 技
rfc 技
syi 术
sy 术
dnnt 成
dn 成
jsi 果
js 果
yygn 方
yy 方 广
uqty 效
uqt 效
yxif 率
yxi 率
wfhg 值
wfh 值
tjgf 得
tjg 得
gcfj 到
gcf 到
dbdm 顾
dbd 顾
ukd 问
uk 问
ywet 诊
ywe 诊
onrh 断
onr 断
tjtu 复
tjt 复
rmhj 制
rmh 制
tfkp 造
tfk 造 靠
rjgh 提
rj 提
wgkb 命
mfkd 周
mfk 周
adwe 期
xfkg 结
xfk 结
sqkg 构
sqk 构
ymfk 调
ymf 调
dga 研
dg 研 厂
pwvb 究
pwv 究
smn 机
sm 机
kkdk 器
kkd 器
ftbt 教
ftb 教
ycef 育
yce 育
fukg 培
fuk 培
ykh 训
yk 训
atdi 医
atd 医
ubk 疗
ub 疗
wvfp 健
wvf 健
yvii 康
yvi 康
mftt 财
mft 财
pgkl 富
pgk 富
rvy 势
rv 势
qlpy 链
qlp 链
tsu 条
ts 条
wawy 供
waw 供
yidg 应
yid 应
wykf 售
wyk 售
pg 定
wwjh 价
wwj 价
stkg 格
stk 格
pbf 字
pb 字
yfh 计
yf 计
skd 可
sk 可
tfkd 靠
tfhh 行
tf 行
jyiu 景
jyi 景
budy 联
bud 联
jelg 盟
jel 盟
flwy 协
flw 协
yyqy 议
yyq 议
ybf 享
yb 享
yt 放
vfhp 建
vfh 建
qytb 孵
qyt 孵
lkg 加
lk 加
gkif 速
gki 速
dgt 厂
tukq 税
tuk 税
pudu 实
pud 实
xcag 经
iyjh 济
iyj 济
lfny 转
lfn 转
fhqv 趋
fhq 趋
ajtl 蓝
ajt 蓝
rdg 拓
rd 拓
mgae 赋
mga 赋
ldi 因
ld 因
ipws 深
ipw 深
fklh 圳
fkl 圳
yygt 广
iyox 湾
iyo 湾
pfjm 赛
pfj 赛
wrg 伯
wr 伯
qi 乐
wysu 集
wys 集
nckg 怡
nck 怡
gogd 亚
gog 亚
cepk 通
cep 通
dpi 达
dp 达
rpwa 控
rpw 控
def 有
bvey 限
bve 限
wcu 公
wc 公
ngkd 司
ngk 司
atgf 董
atg 董
gkvh 事
gkv 事
pygl 福
pyg 福
